title,duration,rating,stars,votes
When We First Met,97 min,6.4,"['Ari Sandel', '| ', '    Stars:', 'Adam Devine, ', 'Alexandra Daddario, ', 'Shelley Hennig, ', 'Andrew Bachelor']","49,438"
The Rising of the Shield Hero,24 min,8.0,"['Kaito Ishikawa, ', 'Asami Seto, ', 'Billy Kametz, ', 'Erica Mendez']","13,071"
Collateral,230 min,6.7,"['Carey Mulligan, ', 'Nathaniel Martello-White, ', 'Hayley Squires, ', 'Vineeta Rishi']","18,307"
Fullmetal Alchemist,135 min,5.3,"['Fumihiko Sori', '| ', '    Stars:', 'Ryôsuke Yamada, ', 'Tsubasa Honda, ', 'Dean Fujioka, ', 'Misako Renbutsu']","20,210"
I Am Mother,113 min,6.7,"['Grant Sputore', '| ', '    Stars:', 'Luke Hawker, ', 'Rose Byrne, ', 'Maddie Lenton, ', 'Hazel Sandery']","90,922"
The Wrath of God,97 min,5.7,"['Sebastián Schindel', '| ', '    Stars:', 'Macarena Achaga, ', 'Diego Peretti, ', 'Juan Minujín, ', 'Mónica Antonópulos']","3,327"
The Last Stand,107 min,6.3,"['Jee-woon Kim', '| ', '    Stars:', 'Arnold Schwarzenegger, ', 'Forest Whitaker, ', 'Johnny Knoxville, ', 'Rodrigo Santoro']","139,326"
The Clovehitch Killer,109 min,6.5,"['Duncan Skiles', '| ', '    Stars:', 'Dylan McDermott, ', 'Charlie Plummer, ', 'Samantha Mathis, ', 'Madisen Beaty']","28,019"
Neon Genesis Evangelion: The End of Evangelion,87 min,8.0,"['Hideaki Anno, ', 'Kazuya Tsurumaki', '| ', '    Stars:', 'Megumi Ogata, ', 'Megumi Hayashibara, ', 'Yûko Miyamura, ', 'Kotono Mitsuishi']","54,347"
Being Human,60 min,7.8,"['Lenora Crichlow, ', 'Russell Tovey, ', 'Aidan Turner, ', 'Sinéad Keenan']","25,374"
Brooklyn's Finest,132 min,6.7,"['Antoine Fuqua', '| ', '    Stars:', 'Richard Gere, ', 'Don Cheadle, ', 'Ethan Hawke, ', 'Wesley Snipes']","64,048"
Crossing Lines,43 min,7.3,"['Tom Wlaschiha, ', 'Donald Sutherland, ', 'Lara Rossi, ', 'William Fichtner']","13,157"
Tidelands,60 min,6.8,"['Charlotte Best, ', 'Marco Pigossi, ', 'Aaron Jakubenko, ', 'Mattias Inwood']","8,030"
Drop Dead Diva,60 min,7.4,"['Brooke Elliott, ', 'Margaret Cho, ', 'Kate Levering, ', 'April Bowlby']","19,731"
Thelma,116 min,7.0,"['Joachim Trier', '| ', '    Stars:', 'Eili Harboe, ', 'Kaya Wilkins, ', 'Henrik Rafaelsen, ', 'Ellen Dorrit Petersen']","32,497"
Inside Job,109 min,8.2,"['Charles Ferguson', '| ', '    Stars:', 'Matt Damon, ', 'Gylfi Zoega, ', 'Andri Snær Magnason, ', 'Sigridur Benediktsdottir']","75,659"
Don't Trust the B---- in Apartment 23,22 min,7.3,"['Krysten Ritter, ', 'Dreama Walker, ', 'Michael Blaiklock, ', 'Eric André']","38,047"
The Privilege,107 min,4.7,"['Felix Fuchssteiner, ', 'Katharina Schöde', '| ', '    Stars:', 'Max Schimmelpfennig, ', 'Lea van Acken, ', 'Tijan Marei, ', 'Milena Tscharntke']","4,619"
Your Lie in April,23 min,8.6,"['Natsuki Hanae, ', 'Risa Taneda, ', 'Ayane Sakura, ', 'Ryôta Ôsaka']","28,925"
S.W.A.T.: Firefight,89 min,5.3,"['Benny Boom', '| ', '    Stars:', 'Gabriel Macht, ', 'Robert Patrick, ', 'Carly Pope, ', 'Giancarlo Esposito']","10,990"
The Valhalla Murders,50 min,7.1,"['Aldís Amah Hamilton, ', 'Nína Dögg Filippusdóttir, ', 'Björn Thors, ', 'Gunnar Bersi Björnsson']","13,993"
Leyla and Mecnun,80 min,9.1,"['Ali Atay, ', 'Serkan Keskin, ', 'Cengiz Bozkurt, ', 'Köksal Engür']","93,632"
Reckoning,460 min,6.5,"['Aden Young, ', 'Sam Trammell, ', 'Simone Kessell, ', 'Milly Alcock']","4,773"
Derek,23 min,8.1,"['Ricky Gervais, ', 'Kerry Godliman, ', 'David Earl, ', 'Tim Barlow']","32,985"
Always Be My Maybe,101 min,6.8,"['Nahnatchka Khan', '| ', '    Stars:', 'Ali Wong, ', 'Randall Park, ', 'James Saito, ', 'Michelle Buteau']","56,455"
The Secret World of Arrietty,94 min,7.6,"['Hiromasa Yonebayashi', '| ', '    Stars:', 'Amy Poehler, ', 'Will Arnett, ', 'Mirai Shida, ', 'Ryûnosuke Kamiki']","92,424"
River,60 min,8.0,"['Stellan Skarsgård, ', 'Nicola Walker, ', 'Adeel Akhtar, ', 'Lesley Manville']","23,968"
The Cave,97 min,5.1,"['Bruce Hunt', '| ', '    Stars:', 'Piper Perabo, ', 'Morris Chestnut, ', 'Cole Hauser, ', 'Eddie Cibrian']","39,112"
Extinction,95 min,5.8,"['Ben Young', '| ', '    Stars:', 'Michael Peña, ', 'Lizzy Caplan, ', 'Amelia Crouch, ', 'Erica Tremblay']","53,157"
Drinking Buddies,90 min,6.1,"['Joe Swanberg', '| ', '    Stars:', 'Olivia Wilde, ', 'Jake Johnson, ', 'Anna Kendrick, ', 'Ron Livingston']","58,711"
The Playlist,45 min,,"['Christian Hillborg, ', 'Gizem Erdogan, ', 'Edvin Endre, ', 'Ulf Stenberg']",
More the Merrier,111 min,5.4,"['Paco Caballero', '| ', '    Stars:', 'Ernesto Alterio, ', 'María Morales, ', 'Luis Callejo, ', 'Anna Castillo']","3,437"
Lovesick,24 min,8.0,"['Johnny Flynn, ', 'Antonia Thomas, ', 'Daniel Ings, ', 'Joshua McGuire']","20,266"
Bonding,17 min,7.1,"['Zoe Levin, ', 'Brendan Scannell, ', 'Micah Stock, ', 'Theo Stockman']","16,347"
The Laundromat,96 min,6.3,"['Steven Soderbergh', '| ', '    Stars:', 'Gary Oldman, ', 'Antonio Banderas, ', 'AJ Meijer, ', 'Arsenio Castellanos']","50,985"
The Five Juanas,,6.9,"['Zuria Vega, ', 'Renata Notni, ', 'Oka Giner, ', 'Juanita Arias']","1,876"
Reply 1988,90 min,9.2,"['Hyeri Lee, ', 'Go Kyung-Pyo, ', 'Ryu Jun-Yeol, ', 'Park Bo-gum']","7,286"
Inside,87 min,8.6,"['Bo Burnham', '| ', '    Star:', 'Bo Burnham']","48,299"
How to Change Your Mind,212 min,7.9,"['Michael Pollan, ', 'Erika Gagnon, ', 'Kathleen Kral, ', 'Paul Daley']","1,763"
Run On,70 min,7.5,"['Si-wan Yim, ', 'Shin Se-Kyung, ', 'Sooyoung Choi, ', 'Kang Tae-oh']","3,460"
Komi Can't Communicate,24 min,7.8,"['Aoi Koga, ', 'Gakuto Kajiwara, ', 'Rie Murakawa, ', 'Rina Hidaka']","5,956"
Psycho-Pass,25 min,8.2,"['Kana Hanazawa, ', 'Miyuki Sawashiro, ', 'Takahiro Sakurai, ', 'Shizuka Itô']","19,164"
Black Book,145 min,7.7,"['Paul Verhoeven', '| ', '    Stars:', 'Carice van Houten, ', 'Sebastian Koch, ', 'Thom Hoffman, ', 'Halina Reijn']","77,055"
I Just Killed My Dad,125 min,6.7,"['Teresa Thompson, ', 'Dana Cummings, ', 'Jarrett Ambeau, ', 'Hillar Moore']","4,232"
Wounds,95 min,4.1,"['Babak Anvari', '| ', '    Stars:', 'Armie Hammer, ', 'Zazie Beetz, ', 'Karl Glusman, ', 'Christin Rankins']","19,429"
Hannibal Rising,121 min,6.1,"['Peter Webber', '| ', '    Stars:', 'Gaspard Ulliel, ', 'Rhys Ifans, ', 'Gong Li, ', 'Aaran Thomas']","110,447"
Nevertheless,70 min,7.2,"['Han So-hee, ', 'Song Kang, ', 'Cheska Aguiluz, ', 'Young Gu Kim']","5,326"
Tyler Perry's A Madea Homecoming,105 min,5.6,"['Tyler Perry', '| ', '    Stars:', 'Tyler Perry, ', 'Cassi Davis, ', 'David Mann, ', 'Tamela J. Mann']","3,827"
The Rhythm Section,109 min,5.4,"['Reed Morano', '| ', '    Stars:', 'Blake Lively, ', 'Richard Brake, ', 'Elly Curtis, ', 'David Duggan']","18,549"
My Little Pony: A New Generation,90 min,6.8,"['Robert Cullen, ', 'José Luis Ucha, ', 'Mark Fattibene', '| ', '    Stars:', 'Vanessa Hudgens, ', 'Kimiko Glenn, ', 'James Marsden, ', 'Sofia Carson']","3,764"
Mirrors,110 min,6.1,"['Alexandre Aja', '| ', '    Stars:', 'Kiefer Sutherland, ', 'Paula Patton, ', 'Amy Smart, ', 'Cameron Boyce']","107,940"
Cafe Minamdang,65 min,7.2,"['Seo In-Guk, ', 'Yeon-Seo Oh, ', 'Mi-na Kang, ', 'Kwon Soo-Hyeon']",615
The Spectacular Spider-Man,23 min,8.3,"['Josh Keaton, ', 'Lacey Chabert, ', 'Joshua LeBar, ', 'Grey Griffin']","15,539"
Beasts of No Nation,137 min,7.7,"['Cary Joji Fukunaga', '| ', '    Stars:', 'Abraham Attah, ', 'Emmanuel Affadzi, ', 'Ricky Adelayitor, ', 'Andrew Adote']","81,447"
Akame ga Kill!,24 min,7.8,"['Sôma Saitô, ', 'Corey Hartzog, ', 'Sora Amamiya, ', 'Molly Searcy']","23,986"
Yes Day,86 min,5.7,"['Miguel Arteta', '| ', '    Stars:', 'Jennifer Garner, ', 'Edgar Ramírez, ', 'Jenna Ortega, ', 'Julian Lerner']","24,184"
Staged,22 min,8.5,"['Michael Sheen, ', 'David Tennant, ', 'Georgia Tennant, ', 'Anna Lundberg']","6,622"
Stranger,60 min,8.5,"['Cho Seung-woo, ', 'Bae Doona, ', 'Lee Joon-hyuk, ', 'Jeon Bae-soo']","8,283"
Borgia,52 min,7.8,"['Mark Ryder, ', 'Isolda Dychauk, ', 'Diarmuid Noyes, ', 'John Doman']","6,718"
Caliphate,46 min,8.2,"['Gizem Erdogan, ', 'Amed Bozan, ', 'Aliette Opheim, ', 'Albin Grenholm']","18,555"
The Bureau of Magical Things,25 min,6.8,"['Kimie Tsukakoshi, ', 'Elizabeth Cullen, ', 'Mia Milnes, ', 'Julian Cullen']","2,293"
A Futile and Stupid Gesture,101 min,6.7,"['David Wain', '| ', '    Stars:', 'Frank Gingerich, ', 'Morgan Gingerich, ', ""Annette O'Toole, "", 'Harry Groener']","16,339"
The Baby-Sitters Club,,7.4,"['Sophie Grace, ', 'Momona Tamada, ', 'Shay Rudolph, ', 'Malia Baker']","4,070"
Marianne,50 min,7.4,"['Victoire Du Bois, ', 'Lucie Boujenah, ', 'Tiphaine Daviot, ', 'Ralph Amoussou']","15,438"
Tangerine,88 min,7.1,"['Sean Baker', '| ', '    Stars:', 'Kitana Kiki Rodriguez, ', 'Mya Taylor, ', 'Karren Karagulian, ', ""Mickey O'Hagan""]","32,450"
The Mist,42 min,5.4,"['Morgan Spector, ', 'Alyssa Sutherland, ', 'Gus Birney, ', 'Danica Curcic']","25,159"
How to Sell Drugs Online (Fast),30 min,7.8,"['Maximilian Mundt, ', 'Danilo Kamperidis, ', 'Lena Klenke, ', 'Damian Hardung']","32,396"
Big Game,110 min,5.4,"['Jalmari Helander', '| ', '    Stars:', 'Samuel L. Jackson, ', 'Onni Tommila, ', 'Ray Stevenson, ', 'Victor Garber']","33,388"
Nightbooks,103 min,5.7,"['David Yarovesky', '| ', '    Stars:', 'Winslow Fegley, ', 'Lidya Jewett, ', 'Krysten Ritter, ', 'Jess Brown']","8,827"
Republic of Doyle,60 min,7.6,"['Allan Hawco, ', 'Krystin Pellerin, ', ""Mark O'Brien, "", 'Marthe Bernard']","4,117"
Victoria & Abdul,111 min,6.8,"['Stephen Frears', '| ', '    Stars:', 'Judi Dench, ', 'Ali Fazal, ', 'Tim Pigott-Smith, ', 'Eddie Izzard']","35,951"
Cadaver,86 min,5.2,"['Jarand Herdal', '| ', '    Stars:', 'Thorbjørn Harr, ', 'Maria Grazia Di Meo, ', 'Kingsford Siayor, ', 'Gitte Witt']","10,199"
Making a Murderer,60 min,8.6,"['Steven Avery, ', 'Dolores Avery, ', 'Laura Nirider, ', 'Allan Avery']","95,626"
He-Man and the Masters of the Universe,26 min,5.8,"['David Kaye, ', 'Antony Del Rio, ', 'Kimberly Brooks, ', 'Yuri Lowenthal']","1,838"
The Swimmers,134 min,7.0,"['Sally El Hosaini', '| ', '    Stars:', 'Matthias Schweighöfer, ', 'Ali Suliman, ', 'James Krishna Floyd, ', 'Alfredo Tavares']",57
Highschool of the Dead,24 min,7.2,"[""Jun'ichi Suwabe, "", 'Eri Kitamura, ', 'Nobuyuki Hiyama, ', 'Hitomi Harada']","13,405"
Hold the Dark,125 min,5.6,"['Jeremy Saulnier', '| ', '    Stars:', 'Jeffrey Wright, ', 'Alexander Skarsgård, ', 'James Badge Dale, ', 'Riley Keough']","37,393"
Safe,94 min,6.5,"['Boaz Yakin', '| ', '    Stars:', 'Jason Statham, ', 'Catherine Chan, ', 'Chris Sarandon, ', 'Robert John Burke']","111,025"
The Social Dilemma,94 min,7.6,"['Jeff Orlowski-Yang', '| ', '    Stars:', 'Tristan Harris, ', 'Jeff Seibert, ', 'Bailey Richardson, ', 'Joe Toscano']","82,178"
We Have a Ghost,,,"['Christopher Landon', '| ', '    Stars:', 'Jennifer Coolidge, ', 'David Harbour, ', 'Faith Ford, ', 'Anthony Mackie']",
The White Tiger,125 min,7.1,"['Ramin Bahrani', '| ', '    Stars:', 'Adarsh Gourav, ', 'Rajkummar Rao, ', 'Priyanka Chopra Jonas, ', 'Vedant Sinha']","60,169"
Thomas & Friends,11 min,6.5,"['Michael Angelis, ', 'Keith Wickham, ', 'Michael Brandon, ', 'Kerry Shale']","5,220"
Pasión de gavilanes,60 min,7.8,"['Juan Alfonso Baptista, ', 'Paola Rey, ', 'Danna García, ', 'Mario Cimarro']","2,514"
The Prom,130 min,5.9,"['Ryan Murphy', '| ', '    Stars:', 'Meryl Streep, ', 'James Corden, ', 'Nicole Kidman, ', 'Kerry Washington']","27,218"
The Takedown,119 min,5.7,"['Louis Leterrier', '| ', '    Stars:', 'Omar Sy, ', 'Laurent Lafitte, ', 'Izïa Higelin, ', 'Dimitri Storoge']","6,592"
My Octopus Teacher,85 min,8.1,"['Pippa Ehrlich, ', 'James Reed', '| ', '    Stars:', 'Craig Foster, ', 'Tom Foster']","54,166"
The Half of It,104 min,6.9,"['Alice Wu', '| ', '    Stars:', 'Leah Lewis, ', 'Daniel Diemer, ', 'Alexxis Lemire, ', 'Wolfgang Novogratz']","37,562"
Feel Good,30 min,7.5,"['Mae Martin, ', 'Charlotte Ritchie, ', 'Phil Burgers, ', 'Jack Barry']","11,158"
Redemption,100 min,6.2,"['Steven Knight', '| ', '    Stars:', 'Jason Statham, ', 'Agata Buzek, ', 'Vicky McClure, ', 'Benedict Wong']","72,611"
Shaft,111 min,6.4,"['Tim Story', '| ', '    Stars:', 'Samuel L. Jackson, ', 'Jessie T. Usher, ', 'Richard Roundtree, ', 'Regina Hall']","53,555"
A Perfect Ending,110 min,5.6,"['Nicole Conn', '| ', '    Stars:', 'Barbara Niven, ', 'Bryan Mordechai Jackson, ', 'Jessica Clark, ', 'John Heard']","4,478"
Moxie,111 min,6.7,"['Amy Poehler', '| ', '    Stars:', 'Hadley Robinson, ', 'Lauren Tsai, ', 'Alycia Pascual-Pena, ', 'Nico Hiraga']","25,588"
Cloudy with a Chance of Meatballs 2,95 min,6.3,"['Cody Cameron, ', 'Kris Pearn', '| ', '    Stars:', 'Bill Hader, ', 'Anna Faris, ', 'Will Forte, ', 'Neil Patrick Harris']","103,309"
Code 8,98 min,6.1,"['Jeff Chan', '| ', '    Stars:', 'Kari Matchett, ', 'Robbie Amell, ', 'Penny Eizenga, ', 'Lawrence Bayne']","40,118"
The Longest Night,268 min,5.8,"['Alberto Ammann, ', 'Luis Callejo, ', 'Bárbara Goenaga, ', 'José Luis García-Pérez']","2,083"
While You Were Sleeping,30 min,8.3,"['Bae Suzy, ', 'Lee Jong-Suk, ', 'Jung Hae-In, ', 'Lee Sang-Yeob']","7,318"
The Chair,30 min,7.2,"['Sandra Oh, ', 'Jay Duplass, ', 'Bob Balaban, ', 'Nana Mensah']","16,734"
The Good Cop,60 min,6.9,"['Tony Danza, ', 'Josh Groban, ', 'Monica Barbaro, ', 'Isiah Whitlock Jr.']","5,834"
Our Blues,60 min,8.6,"['Lee Byung-hun, ', 'Shin Min-a, ', 'Kim Woo-bin, ', 'Han Ji-min']","1,688"
The Two Popes,125 min,7.6,"['Fernando Meirelles', '| ', '    Stars:', 'Jonathan Pryce, ', 'Anthony Hopkins, ', 'Juan Minujín, ', 'Luis Gnecco']","123,244"
My Little Pony: Make Your Mark,22 min,6.1,"['Jenna Warren, ', 'Maitreyi Ramakrishnan, ', 'J.J. Gerber, ', 'Ana Sani']",152
Our Beloved Summer,70 min,8.3,"['Choi Woo-sik, ', 'Kim Da-Mi, ', 'Kim Sung-cheol, ', 'No Jeong-ee']","5,765"
Blood of Zeus,30 min,7.5,"['Derek Phillips, ', ""Jason O'Mara, "", 'Jessica Henwick, ', 'Claudia Christian']","18,056"
Da 5 Bloods,154 min,6.5,"['Spike Lee', '| ', '    Stars:', 'Delroy Lindo, ', 'Jonathan Majors, ', 'Clarke Peters, ', 'Norm Lewis']","51,378"
The Kindergarten Teacher,96 min,6.7,"['Sara Colangelo', '| ', '    Stars:', 'Maggie Gyllenhaal, ', 'Gael García Bernal, ', 'Ato Blankson-Wood, ', 'Libya Pugh']","16,198"
Tales of the City,60 min,7.4,"['Laura Linney, ', 'Elliot Page, ', 'Paul Gross, ', 'Murray Bartlett']","8,161"
Lara Croft Tomb Raider: The Cradle of Life,117 min,5.5,"['Jan de Bont', '| ', '    Stars:', 'Angelina Jolie, ', 'Gerard Butler, ', 'Chris Barrie, ', 'Ciarán Hinds']","138,796"
Suite Française,107 min,7.0,"['Saul Dibb', '| ', '    Stars:', 'Michelle Williams, ', 'Kristin Scott Thomas, ', 'Margot Robbie, ', 'Eric Godon']","26,585"
Get Rich or Die Tryin',117 min,5.4,"['Jim Sheridan', '| ', '    Stars:', '50 Cent, ', 'Joy Bryant, ', 'Adewale Akinnuoye-Agbaje, ', 'Omar Benson Miller']","47,480"
Back to the Outback,95 min,6.5,"['Harry Cripps, ', 'Clare Knight', '| ', '    Stars:', 'Eric Bana, ', 'Tim Minchin, ', 'Miranda Tapsell, ', 'Angus Imrie']","8,320"
The Hour,60 min,8.0,"['Romola Garai, ', 'Ben Whishaw, ', 'Dominic West, ', 'Anna Chancellor']","10,425"
Malnazidos,101 min,5.8,"['Alberto de Toro, ', 'Javier Ruiz Caldera', '| ', '    Stars:', 'Miki Esparbé, ', 'Aura Garrido, ', 'Luis Callejo, ', 'Álvaro Cervantes']","3,717"
The Marked Heart,45 min,6.4,"['Michel Brown, ', 'Ana Lucía Domínguez, ', 'Margarita Muñoz, ', 'Jacqueline Arenal']","2,012"
Monty Python's Flying Circus,30 min,8.8,"['Graham Chapman, ', 'John Cleese, ', 'Terry Gilliam, ', 'Eric Idle']","74,089"
Something in the Rain,75 min,8.1,"['Son Ye-jin, ', 'Jung Hae-In, ', 'Joo Min-Kyung, ', 'Kim Chang-wan']","6,434"
True Story,99 min,6.3,"['Rupert Goold', '| ', '    Stars:', 'James Franco, ', 'Jonah Hill, ', 'Felicity Jones, ', 'Maria Dizzia']","69,032"
Wet Hot American Summer: First Day of Camp,30 min,7.3,"['Marguerite Moreau, ', 'Zak Orth, ', 'Paul Rudd, ', 'Michael Showalter']","24,101"
Don't F**k with Cats: Hunting an Internet Killer,187 min,8.0,"['Deanna Thompson, ', 'John Green, ', 'Claudette Hamlin, ', 'Antonio Paradiso']","53,411"
For Life,43 min,7.6,"['Nicholas Pinnock, ', 'Indira Varma, ', 'Joy Bryant, ', 'Dorian Missick']","8,415"
Ma Rainey's Black Bottom,94 min,6.9,"['George C. Wolfe', '| ', '    Stars:', 'Viola Davis, ', 'Chadwick Boseman, ', 'Glynn Turman, ', 'Colman Domingo']","52,538"
The Most Hated Man on the Internet,162 min,6.8,"['Charlotte Laws, ', 'Charles Parselle, ', 'Kayla Laws, ', 'Kirra Hughes']","5,753"
Yakamoz S-245,45 min,6.1,"['Kivanç Tatlitug, ', 'Jerry Hoffmann, ', 'Ecem Uzun, ', 'Özge Özpirinçci']","6,343"
Vagabond,60 min,8.1,"['Lee Seung-gi, ', 'Bae Suzy, ', 'Moon Jeong-Hee, ', 'Yun-shik Baek']","8,368"
Beckett,110 min,5.6,"['Ferdinando Cito Filomarino', '| ', '    Stars:', 'John David Washington, ', 'Boyd Holbrook, ', 'Vicky Krieps, ', 'Alicia Vikander']","26,117"
Close Enough,23 min,7.8,"['J.G. Quintel, ', 'Gabrielle Walsh, ', 'Jason Mantzoukas, ', 'Kimiko Glenn']","11,319"
I Don't Feel at Home in This World Anymore.,93 min,6.9,"['Macon Blair', '| ', '    Stars:', 'Melanie Lynskey, ', 'Chris Doubek, ', 'Marilyn Faith Hickey, ', 'Jared Roylance']","58,103"
Tale of the Nine Tailed,70 min,7.9,"['Lee Dong-Wook, ', 'Jo Bo-ah, ', 'Kim Bum, ', 'Kim Yong Ji']","4,901"
Jackass 4.5,90 min,6.5,"['Jeff Tremaine', '| ', '    Stars:', 'Johnny Knoxville, ', 'Steve-O, ', 'Chris Pontius, ', 'Dave England']","11,266"
White Lines,60 min,6.6,"['Laura Haddock, ', 'Nuno Lopes, ', 'Marta Milans, ', 'Daniel Mays']","17,076"
Avengement,87 min,6.5,"['Jesse V. Johnson', '| ', '    Stars:', 'Scott Adkins, ', 'Craig Fairbrass, ', 'Thomas Turgoose, ', 'Nick Moran']","16,284"
Les papillons noirs,,7.6,"['Niels Arestrup, ', 'Nicolas Duvauchelle, ', 'Sami Bouajila, ', 'Alice Belaïdi']",88
Skyscraper,102 min,5.8,"['Rawson Marshall Thurber', '| ', '    Stars:', 'Dwayne Johnson, ', 'Neve Campbell, ', 'Chin Han, ', 'Roland Møller']","122,155"
In the Name of the King: A Dungeon Siege Tale,127 min,3.8,"['Uwe Boll', '| ', '    Stars:', 'Jason Statham, ', 'Ron Perlman, ', 'Ray Liotta, ', 'Leelee Sobieski']","49,241"
Instant Dream Home,45 min,6.3,"['Danielle Brooks, ', 'Paige Mobley, ', 'Adair Curtis, ', 'Erik Curtis']",667
Jeopardy!,30 min,8.3,"['Alex Trebek, ', 'Johnny Gilbert, ', 'Jimmy McGuire, ', 'Sarah Whitcomb Foss']","7,434"
Tiny Pretty Things,60 min,5.9,"['Kylie Jefferson, ', 'Lauren Holly, ', 'Casimere Jollette, ', 'Brennan Clost']","9,392"
Black Lagoon,25 min,7.9,"['Megumi Toyoguchi, ', 'Daisuke Namikawa, ', 'Brad Swaile, ', 'Maryke Hendrikse']","15,113"
Smurfs: The Lost Village,90 min,5.9,"['Kelly Asbury', '| ', '    Stars:', 'Demi Lovato, ', 'Rainn Wilson, ', 'Joe Manganiello, ', 'Jack McBrayer']","21,726"
Turning Point: 9/11 and the War on Terror,312 min,8.0,['James LaPorta'],"9,520"
Goblin Slayer,30 min,7.5,"['Yuichiro Umehara, ', 'Yui Ogura, ', 'Brad Hawkins, ', 'Hayden Daviau']","7,608"
Bungou Stray Dogs,24 min,7.8,"['Kaiji Tang, ', 'Mamoru Miyano, ', 'Max Mittelman, ', 'Yûto Uemura']","6,230"
My Mister,70 min,9.1,"['Lee Sun-kyun, ', 'Ji-eun Lee, ', 'Ji-Ah Lee, ', 'Park Ho-San']","6,442"
The Stronghold,105 min,6.9,"['Cédric Jimenez', '| ', '    Stars:', 'Gilles Lellouche, ', 'Karim Leklou, ', 'François Civil, ', 'Adèle Exarchopoulos']","10,474"
Falling for Christmas,93 min,,"['Janeen Damian', '| ', '    Stars:', 'Lindsay Lohan, ', 'Chord Overstreet, ', 'Jack Wagner, ', 'George Young']",
Mako Mermaids,30 min,6.7,"['Chai Hansen, ', 'Dominic Deutscher, ', 'Gemma Forsyth, ', 'Rowan Hills']","4,075"
Bitten,44 min,6.9,"['Laura Vandervoort, ', 'Greyston Holt, ', 'Greg Bryk, ', 'Steve Lund']","18,271"
Indian Matchmaking,40 min,6.2,"['Sima Taparia, ', 'Viral Joshi, ', 'Aparna Shewakramani, ', 'Akshay Jakhete']","3,686"
Shtisel,45 min,8.6,"[""Doval'e Glickman, "", 'Michael Aloni, ', 'Neta Riskin, ', 'Shira Haas']","7,204"
Shutter,97 min,7.0,"['Banjong Pisanthanakun, ', 'Parkpoom Wongpoom', '| ', '    Stars:', 'Ananda Everingham, ', 'Natthaweeranuch Thongmee, ', 'Achita Sikamana, ', 'Unnop Chanpaibool']","45,222"
The Royal Treatment,96 min,5.2,"['Rick Jacobson', '| ', '    Stars:', 'Laura Marano, ', 'Mena Massoud, ', 'Julie Edwards, ', 'Talia Lesser']","9,262"
Hap and Leonard,60 min,7.6,"['James Purefoy, ', 'Michael Kenneth Williams, ', 'Tiffany Mack, ', 'Cranston Johnson']","7,790"
Valley of the Dolls,123 min,6.0,"['Mark Robson', '| ', '    Stars:', 'Barbara Parkins, ', 'Patty Duke, ', 'Paul Burke, ', 'Sharon Tate']","8,882"
Stateless,316 min,7.5,"['Yvonne Strahovski, ', 'Jai Courtney, ', 'Asher Keddie, ', 'Fayssal Bazzi']","9,520"
Farzar,30 min,5.5,"['David Kaye, ', 'Jerry Minor, ', 'Lance Reddick, ', 'Dana Snyder']","1,775"
Rise of Empires: Ottoman,44 min,7.9,"['Cem Yigit Uzümoglu, ', 'Tommaso Basili, ', 'Selim Bayraktar, ', 'Birkan Sokullu']","22,893"
Contraband,109 min,6.4,"['Baltasar Kormákur', '| ', '    Stars:', 'Mark Wahlberg, ', 'Giovanni Ribisi, ', 'Kate Beckinsale, ', 'Robert Wahlberg']","122,880"
The Empress,,,"['Svenja Jung, ', 'Devrim Lingnau, ', 'Philip Froissant, ', 'Raymond Tarabay']",
The Mother,,,"['Niki Caro', '| ', '    Stars:', 'Gael García Bernal, ', 'Jennifer Lopez, ', 'Joseph Fiennes, ', 'Omari Hardwick']",
Rascal Does Not Dream of Bunny Girl Senpai,24 min,8.1,"['Kaito Ishikawa, ', 'Asami Seto, ', 'Yurika Kubo, ', 'Atsumi Tanezaki']","11,696"
Over the Moon,95 min,6.3,"['Glen Keane, ', 'John Kahrs', '| ', '    Stars:', 'Glen Keane, ', 'Brycen Hall, ', 'Ruthie Ann Miles, ', 'John Cho']","22,398"
Portlandia,22 min,7.8,"['Fred Armisen, ', 'Carrie Brownstein, ', 'Kyle MacLachlan, ', 'Sam Adams']","21,283"
Beirut,109 min,6.4,"['Brad Anderson', '| ', '    Stars:', 'Jon Hamm, ', 'Jay Potter, ', 'Khalid Benchagra, ', 'Ania Josse']","22,396"
Batman,105 min,6.5,"['Leslie H. Martinson', '| ', '    Stars:', 'Adam West, ', 'Burt Ward, ', 'Lee Meriwether, ', 'Cesar Romero']","33,371"
The Paramedic,94 min,5.7,"['Carles Torras', '| ', '    Stars:', 'Mario Casas, ', 'Déborah François, ', 'Guillermo Pfening, ', 'Maria Rodríguez Soto']","12,685"
War Machine,122 min,6.0,"['David Michôd', '| ', '    Stars:', 'Brad Pitt, ', 'Daniel Betts, ', 'John Magaro, ', 'Emory Cohen']","46,794"
The English Game,281 min,7.6,"['Edward Holcroft, ', 'Kevin Guthrie, ', 'Charlotte Hope, ', 'Niamh Walsh']","14,922"
Whisper of the Heart,111 min,7.9,"['Yoshifumi Kondô', '| ', '    Stars:', 'Yoko Honna, ', 'Issey Takahashi, ', 'Takashi Tachibana, ', 'Shigeru Muroi']","62,536"
The Iceman,106 min,6.8,"['Ariel Vromen', '| ', '    Stars:', 'Michael Shannon, ', 'Chris Evans, ', 'James Franco, ', 'Winona Ryder']","75,326"
