title,duration,rating,stars,votes
Partner Track,60 min,6.8,"['Arden Cho, ', 'Alexandra Turshen, ', 'Bradley Gibson, ', 'Dominic Sherwood']","3,840"
Love in the Villa,114 min,5.3,"['Mark Steven Johnson', '| ', '    Stars:', 'Kat Graham, ', 'Tom Hopper, ', 'Raymond Ablack, ', 'Laura Hopper']","7,048"
Black Mirror,60 min,8.8,"['Daniel Lapaine, ', 'Hannah John-Kamen, ', 'Michaela Coel, ', 'Beatrice Robertson-Jones']","535,782"
Brooklyn Nine-Nine,22 min,8.4,"['Andy Samberg, ', 'Stephanie Beatriz, ', 'Terry Crews, ', 'Melissa Fumero']","309,004"
Squid Game,55 min,8.0,"['Lee Jung-jae, ', 'Park Hae-soo, ', 'Hoyeon, ', 'Oh Yeong-su']","435,160"
Gilmore Girls,44 min,8.2,"['Lauren Graham, ', 'Alexis Bledel, ', 'Keiko Agena, ', 'Scott Patterson']","124,087"
Outlander,60 min,8.4,"['Caitríona Balfe, ', 'Sam Heughan, ', 'Sophie Skelton, ', 'Richard Rankin']","158,268"
Ófærð,60 min,8.0,"['Ólafur Darri Ólafsson, ', 'Ilmur Kristjánsdóttir, ', 'Björn Hlynur Haraldsson, ', 'Guðjón Pedersen']","21,641"
Never Have I Ever,30 min,7.9,"['Maitreyi Ramakrishnan, ', 'Poorna Jagannathan, ', 'Darren Barnet, ', 'John McEnroe']","56,216"
Attack on Titan,24 min,9.0,"['Josh Grelle, ', 'Yûki Kaji, ', 'Yui Ishikawa, ', 'Marina Inoue']","363,297"
Manifest,43 min,7.1,"['Melissa Roxburgh, ', 'Josh Dallas, ', 'J.R. Ramirez, ', 'Luna Blaise']","59,167"
Locke & Key,48 min,7.3,"['Darby Stanchfield, ', 'Connor Jessup, ', 'Emilia Jones, ', 'Jackson Robert Scott']","84,847"
Day Shift,113 min,6.1,"['J.J. Perry', '| ', '    Stars:', 'Jamie Foxx, ', 'Dave Franco, ', 'Natasha Liu Bordizzo, ', 'Meagan Good']","62,931"
Dark,60 min,8.7,"['Louis Hofmann, ', 'Karoline Eichhorn, ', 'Lisa Vicari, ', 'Maja Schöne']","371,981"
Guillermo del Toro's Pinocchio,114 min,,"['Guillermo del Toro, ', 'Mark Gustafson', '| ', '    Stars:', 'Gregory Mann, ', 'Ewan McGregor, ', 'Ron Perlman, ', 'Finn Wolfhard']",
Sex Education,45 min,8.4,"['Asa Butterfield, ', 'Gillian Anderson, ', 'Ncuti Gatwa, ', 'Emma Mackey']","273,671"
The Lord of the Rings: The Return of the King,201 min,9.0,"['Peter Jackson', '| ', '    Stars:', 'Elijah Wood, ', 'Viggo Mortensen, ', 'Ian McKellen, ', 'Orlando Bloom']","1,819,157"
The Vampire Diaries,43 min,7.7,"['Nina Dobrev, ', 'Paul Wesley, ', 'Ian Somerhalder, ', 'Kat Graham']","318,383"
Virgin River,44 min,7.4,"['Martin Henderson, ', 'Tim Matheson, ', 'Alexandra Breckenridge, ', 'Colin Lawrence']","41,276"
Family Guy,22 min,8.2,"['Seth MacFarlane, ', 'Alex Borstein, ', 'Seth Green, ', 'Mila Kunis']","334,757"
Fargo,53 min,8.9,"['Billy Bob Thornton, ', 'Martin Freeman, ', 'Allison Tolman, ', 'Colin Hanks']","369,918"
Animal Kingdom,60 min,8.2,"['Shawn Hatosy, ', 'Ben Robson, ', 'Jake Weary, ', 'Finn Cole']","37,944"
Diario de un Gigoló,50 min,6.3,"['Jesús Castro, ', 'Victoria White, ', 'Fabiola Campomanes, ', 'Francisco Denis']",538
How I Met Your Mother,22 min,8.3,"['Josh Radnor, ', 'Jason Segel, ', 'Cobie Smulders, ', 'Neil Patrick Harris']","676,121"
The School for Good and Evil,147 min,,"['Paul Feig', '| ', '    Stars:', 'Cate Blanchett, ', 'Charlize Theron, ', 'Michelle Yeoh, ', 'Rachel Bloom']",
Heartbreak High,50 min,7.6,"['Ayesha Madon, ', 'James Majoos, ', 'Chloe Hayden, ', 'Asher Yasbincek']","1,502"
Wednesday,,,"['Jenna Ortega, ', 'Christina Ricci, ', 'Catherine Zeta-Jones, ', 'Luis Guzmán']",
Community,22 min,8.5,"['Joel McHale, ', 'Danny Pudi, ', 'Donald Glover, ', 'Chevy Chase']","261,138"
Daredevil,54 min,8.6,"['Charlie Cox, ', ""Vincent D'Onofrio, "", 'Deborah Ann Woll, ', 'Elden Henson']","434,141"
Blue Bloods,43 min,7.7,"['Donnie Wahlberg, ', 'Bridget Moynahan, ', 'Will Estes, ', 'Len Cariou']","40,037"
Bee and PuppyCat,7 min,8.2,"['Allyn Rachel, ', 'Alexander James Rodriguez, ', 'Kent Osborne, ', 'Ashly Burch']","2,385"
Loving Adults,104 min,6.5,"['Barbara Topsøe-Rothenborg', '| ', '    Stars:', 'Dar Salim, ', 'Sonja Richter, ', 'Sus Wilkins, ', 'Morten Burian']","5,861"
Schitt's Creek,22 min,8.5,"['Eugene Levy, ', ""Catherine O'Hara, "", 'Dan Levy, ', 'Annie Murphy']","118,638"
Sing 2,110 min,7.4,"['Garth Jennings, ', 'Christophe Lourdelet', '| ', '    Stars:', 'Matthew McConaughey, ', 'Reese Witherspoon, ', 'Scarlett Johansson, ', 'Tori Kelly']","65,399"
